years;value
2018-01;97,9
2018-02;97,7
2018-03;100,1
2018-04;102,6
2018-05;105,1
2018-06;106,9
2018-07;106,8
2018-08;106,6
2018-09;105,9
2018-10;104
2018-11;102,5
2018-12;101,8
2019-01;98,8
2019-02;99,9
2019-03;101,8
2019-04;104,6
2019-05;106,4
2019-06;107,8
2019-07;108,1
2019-08;108,9
2019-09;108,6
2019-10;106
2019-11;103,8
2019-12;104,4
2020-01;100,7
2020-02;101,5
2020-03;95,8
2020-04;76,9
2020-05;82,6
2020-06;86,8
2020-07;90,2
2020-08;92,3
2020-09;93
2020-10;90,5
2020-11;77,7
2020-12;73,5
2021-01;77,3
2021-02;76,6
2021-03;76,9
2021-04;76,4
2021-05;77,8
2021-06;81,9
2021-07;84,8
2021-08;86,1
2021-09;87
2021-10;87,5
2021-11;87,3
2021-12;85,3
2022-01;84,4
2022-02;84,2
2022-03;86,9
2022-04;89,6
2022-05;91,1
2022-06;97
2022-07;95,7
2022-08;96,2
2022-09;96,1
2022-10;94,8
